PSIS_REFYEAR_D_CODE,PSIS_PROVOFSTUDY_CODE,PSIS_PRGCODECIP6_D_CODE,PSIS_PCSCE_D_CODE,PSIS_GENDER_CODE,_COUNT_
,47,26.1102,76,2,10
,47,26.1102,86,,15
,47,26.1102,86,1,10
,47,26.1102,86,2,5
,47,27.0501,,,160
,47,27.0501,,1,95
,47,27.0501,,2,65
,47,27.0501,66,,95
,47,27.0501,66,1,60
,47,27.0501,66,2,35
,47,27.0501,76,,40
,47,27.0501,76,1,20
,47,27.0501,76,2,20
,47,27.0501,86,,25
,47,27.0501,86,1,15
,47,27.0501,86,2,10
,47,27.0502,,,0
,47,27.0502,,1,0
,47,27.0502,,2,0
,47,27.0502,66,,0
,47,27.0502,66,1,0
,47,27.0502,66,2,0
,47,27.0502,76,,0
,47,27.0502,76,1,0
,47,27.0502,76,2,0
,47,27.0502,86,,0
,47,27.0502,86,1,0
,47,27.0502,86,2,0
,47,27.0599,,,0
,47,27.0599,,1,0
,47,27.0599,,2,0
,47,27.0599,66,,0
,47,27.0599,66,1,0
,47,27.0599,66,2,0
,47,27.0599,76,,0
,47,27.0599,76,1,0
,47,27.0599,76,2,0
,47,27.0599,86,,0
,47,27.0599,86,1,0
,47,27.0599,86,2,0
,47,27.9999,,,0
,47,27.9999,,1,0
,47,27.9999,,2,0
,47,27.9999,66,,0
,47,27.9999,66,1,0
,47,27.9999,66,2,0
,47,27.9999,76,,0
,47,27.9999,76,1,0
,47,27.9999,76,2,0
,47,27.9999,86,,0
,47,27.9999,86,1,0
,47,27.9999,86,2,0
,47,52.1302,,,0
,47,52.1302,,1,0
,47,52.1302,,2,0
,47,52.1302,66,,0
,47,52.1302,66,1,0
,47,52.1302,66,2,0
,47,52.1302,76,,0
,47,52.1302,76,1,0
,47,52.1302,76,2,0
,47,52.1302,86,,0
,47,52.1302,86,1,0
,47,52.1302,86,2,0
,48,,,,1765
,48,,,1,1045
,48,,,2,720
,48,,66,,665
,48,,66,1,335
,48,,66,2,330
,48,,76,,540
,48,,76,1,305
,48,,76,2,235
,48,,86,,560
,48,,86,1,405
,48,,86,2,155
,48,26.1102,,,0
,48,26.1102,,1,0
,48,26.1102,,2,0
,48,26.1102,66,,0
,48,26.1102,66,1,0
,48,26.1102,66,2,0
,48,26.1102,76,,0
,48,26.1102,76,1,0
,48,26.1102,76,2,0
,48,26.1102,86,,0
,48,26.1102,86,1,0
,48,26.1102,86,2,0
,48,27.0501,,,660
,48,27.0501,,1,335
,48,27.0501,,2,325
,48,27.0501,66,,660
,48,27.0501,66,1,335
,48,27.0501,66,2,325
,48,27.0501,76,,0
,48,27.0501,76,1,0
,48,27.0501,76,2,0
,48,27.0501,86,,0
,48,27.0501,86,1,0
,48,27.0501,86,2,0
,48,27.0502,,,1105
,48,27.0502,,1,710
,48,27.0502,,2,395
,48,27.0502,66,,5
,48,27.0502,66,1,0
,48,27.0502,66,2,5
,48,27.0502,76,,540
,48,27.0502,76,1,305
,48,27.0502,76,2,235
,48,27.0502,86,,560
,48,27.0502,86,1,405
,48,27.0502,86,2,155
,48,27.0599,,,0
,48,27.0599,,1,0
,48,27.0599,,2,0
,48,27.0599,66,,0
,48,27.0599,66,1,0
,48,27.0599,66,2,0
,48,27.0599,76,,0
,48,27.0599,76,1,0
,48,27.0599,76,2,0
,48,27.0599,86,,0
,48,27.0599,86,1,0
,48,27.0599,86,2,0
,48,27.9999,,,0
,48,27.9999,,1,0
,48,27.9999,,2,0
,48,27.9999,66,,0
,48,27.9999,66,1,0
,48,27.9999,66,2,0
,48,27.9999,76,,0
,48,27.9999,76,1,0
,48,27.9999,76,2,0
,48,27.9999,86,,0
,48,27.9999,86,1,0
,48,27.9999,86,2,0
,48,52.1302,,,0
,48,52.1302,,1,0
,48,52.1302,,2,0
,48,52.1302,66,,0
,48,52.1302,66,1,0
,48,52.1302,66,2,0
,48,52.1302,76,,0
,48,52.1302,76,1,0
,48,52.1302,76,2,0
,48,52.1302,86,,0
,48,52.1302,86,1,0
,48,52.1302,86,2,0
,59,,,,2735
,59,,,1,1425
,59,,,2,1310
,59,,66,,1910
,59,,66,1,985
,59,,66,2,925
,59,,76,,460
,59,,76,1,210
,59,,76,2,250
,59,,86,,365
,59,,86,1,230
,59,,86,2,135
,59,26.1102,,,0
,59,26.1102,,1,0
,59,26.1102,,2,0
,59,26.1102,66,,0
,59,26.1102,66,1,0
,59,26.1102,66,2,0
,59,26.1102,76,,0
,59,26.1102,76,1,0
,59,26.1102,76,2,0
,59,26.1102,86,,0
,59,26.1102,86,1,0
,59,26.1102,86,2,0
,59,27.0501,,,2710
,59,27.0501,,1,1410
,59,27.0501,,2,1300
,59,27.0501,66,,1885
,59,27.0501,66,1,970
,59,27.0501,66,2,915
,59,27.0501,76,,460
,59,27.0501,76,1,210
,59,27.0501,76,2,250
,59,27.0501,86,,365
,59,27.0501,86,1,230
,59,27.0501,86,2,135
,59,27.0502,,,25
,59,27.0502,,1,15
,59,27.0502,,2,10
,59,27.0502,66,,25
,59,27.0502,66,1,15
,59,27.0502,66,2,10
,59,27.0502,76,,0
,59,27.0502,76,1,0
,59,27.0502,76,2,0
,59,27.0502,86,,0
,59,27.0502,86,1,0
,59,27.0502,86,2,0
,59,27.0599,,,0
,59,27.0599,,1,0
,59,27.0599,,2,0
,59,27.0599,66,,0
,59,27.0599,66,1,0
,59,27.0599,66,2,0
,59,27.0599,76,,0
,59,27.0599,76,1,0
,59,27.0599,76,2,0
,59,27.0599,86,,0
,59,27.0599,86,1,0
,59,27.0599,86,2,0
,59,27.9999,,,0
,59,27.9999,,1,0
,59,27.9999,,2,0
,59,27.9999,66,,0
,59,27.9999,66,1,0
,59,27.9999,66,2,0
,59,27.9999,76,,0
,59,27.9999,76,1,0
,59,27.9999,76,2,0
,59,27.9999,86,,0
,59,27.9999,86,1,0
,59,27.9999,86,2,0
,59,52.1302,,,0
,59,52.1302,,1,0
,59,52.1302,,2,0
,59,52.1302,66,,0
,59,52.1302,66,1,0
,59,52.1302,66,2,0
,59,52.1302,76,,0
,59,52.1302,76,1,0
,59,52.1302,76,2,0
,59,52.1302,86,,0
,59,52.1302,86,1,0
,59,52.1302,86,2,0
2005,,,,,635
2005,,,,1,325
2005,,,,2,310
2005,,,66,,425
2005,,,66,1,195
2005,,,66,2,230
2005,,,76,,145
2005,,,76,1,85
2005,,,76,2,60
2005,,,86,,65
2005,,,86,1,45
2005,,,86,2,20
2005,,26.1102,,,0
2005,,26.1102,,1,0
2005,,26.1102,,2,0
2005,,26.1102,66,,0
2005,,26.1102,66,1,0
2005,,26.1102,66,2,0
2005,,26.1102,76,,0
2005,,26.1102,76,1,0
2005,,26.1102,76,2,0
2005,,26.1102,86,,0
2005,,26.1102,86,1,0
2005,,26.1102,86,2,0
2005,,27.0501,,,585
2005,,27.0501,,1,300
2005,,27.0501,,2,285
2005,,27.0501,66,,375
2005,,27.0501,66,1,170
2005,,27.0501,66,2,205
2005,,27.0501,76,,145
2005,,27.0501,76,1,85
2005,,27.0501,76,2,60
2005,,27.0501,86,,65
2005,,27.0501,86,1,45
2005,,27.0501,86,2,20
2005,,27.0502,,,50
2005,,27.0502,,1,25
2005,,27.0502,,2,25
2005,,27.0502,66,,50
2005,,27.0502,66,1,25
2005,,27.0502,66,2,25
2005,,27.0502,76,,0
2005,,27.0502,76,1,0
2005,,27.0502,76,2,0
2005,,27.0502,86,,0
2005,,27.0502,86,1,0
2005,,27.0502,86,2,0
2005,,27.0599,,,0
2005,,27.0599,,1,0
2005,,27.0599,,2,0
2005,,27.0599,66,,0
2005,,27.0599,66,1,0
2005,,27.0599,66,2,0
2005,,27.0599,76,,0
2005,,27.0599,76,1,0
2005,,27.0599,76,2,0
2005,,27.0599,86,,0
2005,,27.0599,86,1,0
2005,,27.0599,86,2,0
2005,,27.9999,,,0
